sheet,cell,row_label,value,target_id,verdict,note
ТЭПы,I43,Квартиры Тип 3,1.6,TEP.PARKING_NORM,keep,совпадает с ПП Москвы 2118-ПП
ТЭПы,F44,,2401,TEP.APT_MIX,fix,итог вбит числом
ТЭПы,J44,,862,TEP.PARKING_COUNT_OVERRIDE,fix,итог вбит числом
ТЭПы,C48,ПСН,10332,TEP.COMM_AREA,remove,10 332 vs 10 322 в C23 — опечатка
ТЭПы,D48,ПСН,80,SALES.PRODUCTS,keep,средняя площадь лота ПСН
ТЭПы,G48,ПСН,600000,SALES.PRODUCTS,keep,цена ПСН руб/м²
ТЭПы,C49,Машиноместа,5200,TEP.PARKING_AREA_PER_SPACE,remove,"5 200 = 127 м/м × 40,945 м² — остаток прежней версии, в расчётах не участвует"
ТЭПы,D49,Машиноместа,40.945,TEP.PARKING_AREA_PER_SPACE,keep,
ТЭПы,G49,Машиноместа,270000,SALES.PRODUCTS,fix,"цена м/м в руб/м² × 40,945"
ТЭПы,D50,Прочие помещения,0,TEP.STORAGE_COUNT,keep,прочие помещения = 0
ТЭПы,E50,Прочие помещения,0,TEP.STORAGE_COUNT,keep,прочие помещения = 0
ТЭПы,F50,Прочие помещения,0,TEP.STORAGE_COUNT,keep,прочие помещения = 0
Бюджет,F18,Юридические расходы на покупку,0,CAPEX.ITEMS[LAND_LEGAL],replace,сумма/ставка вбита числом → ставка × база
Бюджет,D19,Агентское вознаграждение,0.02,LAND.AGENT_FEE_RATE,fix,ставка не участвует в сумме
Бюджет,F19,Агентское вознаграждение,0,CAPEX.ITEMS[LAND_AGENT],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F21,,825124525.273,LAND.RENT_ANNUAL,replace,итог без расчёта
Бюджет,D22,,5000,LAND.VRI_FEE,replace,5 000 руб/м² без источника
Бюджет,F24,,1260033986.66,LAND.CITY_OBLIGATIONS,fix,перенести в правообладание
Бюджет,F26,,751140673,CAPEX.ITEMS[DESIGN_P],replace,сумма/ставка вбита числом → ставка × база
Бюджет,D29,,2000000,CAPEX.ITEMS[PREDESIGN],replace,сумма/ставка вбита числом → ставка × база
Бюджет,E29,,1,CAPEX.ITEMS[PREDESIGN],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F31,,141554585,CAPEX.ITEMS[SITE_PREP],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F32,,52782616084,CAPEX.ITEMS[SMR_ABOVE],replace,сумма/ставка вбита числом → ставка × база
Бюджет,E33,,0,CAPEX.ITEMS[SMR_BELOW],replace,сумма/ставка вбита числом → ставка × база
Бюджет,E34,,0,CAPEX.ITEMS[MOP_FINISH],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F37,,1355940,CAPEX.ITEMS[LANDSCAPING],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F38,Устройство УДС,535620851,CAPEX.ITEMS[ROADS_UDS],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F39,,16904952.57,CAPEX.ITEMS[OTHER_SMR],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F40,,56837555.65,CAPEX.ITEMS[SITE_SECURITY],replace,сумма/ставка вбита числом → ставка × база
Бюджет,D41,,1000,CAPEX.ITEMS[COMMISSIONING],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F41,,0,CAPEX.ITEMS[COMMISSIONING],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F43,,2383139493,CAPEX.ITEMS[TECH_CUSTOMER],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F45,,88670039,CAPEX.ITEMS[MONITORING],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F47,,5128070146.9,CAPEX.ITEMS[SOCIAL_OBJECTS],replace,сумма/ставка вбита числом → ставка × база
Бюджет,D48,,0.02,OPEX.DEV_FEE_RATE,fix,сумма F48 вбита отдельно
Бюджет,F48,,1850054797,CAPEX.ITEMS[DEV_FEE],replace,сумма/ставка вбита числом → ставка × база
Бюджет,F49,,14454850.84,CAPEX.ITEMS[DEVELOPER_OVERHEAD],replace,сумма/ставка вбита числом → ставка × база
Бюджет,D51,Маркетинг,0.035,OPEX.MARKETING_RATE,keep,
Бюджет,D52,Продажи,0.035,OPEX.BROKERAGE_RATE,keep,
Бюджет,D54,НДС,0.22,TAX.VAT_RATE,keep,
Бюджет,D55,Налог на прибыль,0.25,TAX.PROFIT_RATE,keep,
Бюджет,D65,Собственный капитал,0.1,FIN.EQUITY_SHARE,remove,дубль CF1!D132
Бюджет,D68,Банковские расходы,0.15,F.FIN.FEES,remove,«банковские расходы 15%» дублируют проценты
CF1,E2,,2025-12-31 00:00:00,GEN.MODEL_START_DATE,keep,
CF1,AB6,Раскрытие Escrow,1,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AC6,Раскрытие Escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AD6,Раскрытие Escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AE6,Раскрытие Escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AF6,Раскрытие Escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,F7,Год строительства,1,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,G7,Год строительства,1,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,H7,Год строительства,1,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,I7,Год строительства,1,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,J7,Год строительства,2,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,K7,Год строительства,2,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,L7,Год строительства,2,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,M7,Год строительства,2,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,N7,Год строительства,3,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,O7,Год строительства,3,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,P7,Год строительства,3,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,Q7,Год строительства,3,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,R7,Год строительства,4,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,S7,Год строительства,4,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,T7,Год строительства,4,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,U7,Год строительства,4,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,V7,Год строительства,5,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,W7,Год строительства,5,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,X7,Год строительства,5,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,Y7,Год строительства,5,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,Z7,Год строительства,6,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AA7,Год строительства,6,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AB7,Год строительства,6,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AC7,Год строительства,6,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AB8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AC8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AD8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AE8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AF8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AG8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AH8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AI8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AJ8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AK8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AL8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AM8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AN8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AO8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AP8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AQ8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AR8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,AS8,Продажи по escrow,0,TIME.MILESTONES,remove,флаги/номера проставлены вручную
CF1,F22,"Проставить темп,%",1,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,G22,"Проставить темп,%",0,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,I22,"Проставить темп,%",0,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,J22,"Проставить темп,%",0,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O22,"Проставить темп,%",0,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Q22,"Проставить темп,%",0,CAPEX.ITEMS[LAND_PURCHASE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K26,"Проставить темп,%",1,CAPEX.ITEMS[LAND_VRI].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N26,"Проставить темп,%",0,CAPEX.ITEMS[LAND_VRI].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O26,"Проставить темп,%",0,CAPEX.ITEMS[LAND_VRI].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M29,"Проставить темп,%",0.5,CAPEX.ITEMS[CITY_OBLIGATIONS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N29,"Проставить темп,%",0.5,CAPEX.ITEMS[CITY_OBLIGATIONS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,I31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,J31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,L31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N31,"Проставить темп,%",0.125,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O31,"Проставить темп,%",0.125,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,P31,"Проставить темп,%",0.125,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,T31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,U31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,V31,"Проставить темп,%",0,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,X31,"Проставить темп,%",0.25,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Y31,"Проставить темп,%",0.25,CAPEX.ITEMS[IRD].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,F33,"Проставить темп,%",0.5,CAPEX.ITEMS[DESIGN_P].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,G33,"Проставить темп,%",0.5,CAPEX.ITEMS[DESIGN_P].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,F39,"Проставить темп,%",1,CAPEX.ITEMS[PREDESIGN].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,G39,"Проставить темп,%",0,CAPEX.ITEMS[PREDESIGN].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,H39,"Проставить темп,%",0,CAPEX.ITEMS[PREDESIGN].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,I42,"Проставить темп,%",0.2,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,J42,"Проставить темп,%",0.2,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K42,"Проставить темп,%",0.2,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,L42,"Проставить темп,%",0.2,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M42,"Проставить темп,%",0.2,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N42,"Проставить темп,%",0,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O42,"Проставить темп,%",0,CAPEX.ITEMS[SITE_PREP].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,F44,"Проставить темп,%",0.005,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,G44,"Проставить темп,%",0.005,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,H44,"Проставить темп,%",0.03,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,I44,"Проставить темп,%",0.03,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,J44,"Проставить темп,%",0.03,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K44,"Проставить темп,%",0.03,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,L44,"Проставить темп,%",0.04,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M44,"Проставить темп,%",0.04,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N44,"Проставить темп,%",0.04,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O44,"Проставить темп,%",0.04,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,P44,"Проставить темп,%",0.05,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Q44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,R44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,S44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,T44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,U44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,V44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,W44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,X44,"Проставить темп,%",0.07,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Y44,"Проставить темп,%",0.05,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Z44,"Проставить темп,%",0.05,CAPEX.ITEMS[SMR_ABOVE].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M46,"Проставить темп,%",0.3,CAPEX.ITEMS[SMR_BELOW].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N46,"Проставить темп,%",0.3,CAPEX.ITEMS[SMR_BELOW].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O46,"Проставить темп,%",0.3,CAPEX.ITEMS[SMR_BELOW].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,P46,"Проставить темп,%",0.1,CAPEX.ITEMS[SMR_BELOW].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Z48,"Проставить темп,%",0.5,CAPEX.ITEMS[MOP_FINISH].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AA48,"Проставить темп,%",0.5,CAPEX.ITEMS[MOP_FINISH].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K50,"Проставить темп,%",0.25,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,P50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,S50,"Проставить темп,%",0.25,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,T50,"Проставить темп,%",0.25,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Y50,"Проставить темп,%",0.25,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Z50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AF50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AG50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AH50,"Проставить темп,%",0,CAPEX.ITEMS[UTILITY_CONNECTION].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M52,"Проставить темп,%",0.3,CAPEX.ITEMS[EXTERNAL_NETWORKS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N52,"Проставить темп,%",0.3,CAPEX.ITEMS[EXTERNAL_NETWORKS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,V52,"Проставить темп,%",0.3,CAPEX.ITEMS[EXTERNAL_NETWORKS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,W52,"Проставить темп,%",0.1,CAPEX.ITEMS[EXTERNAL_NETWORKS].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,W54,"Проставить темп,%",0.25,CAPEX.ITEMS[LANDSCAPING].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,X54,"Проставить темп,%",0.25,CAPEX.ITEMS[LANDSCAPING].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Y54,"Проставить темп,%",0.25,CAPEX.ITEMS[LANDSCAPING].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Z54,"Проставить темп,%",0.25,CAPEX.ITEMS[LANDSCAPING].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,I58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,J58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,K58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,L58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,M58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,N58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,O58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,P58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Q58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,R58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,S58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,T58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,U58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,V58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,W58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,X58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Y58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,Z58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AA58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,AB58,"Проставить темп,%",0.05,CAPEX.ITEMS[SITE_SECURITY].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
CF1,V60,"Проставить темп,%",0.2,CAPEX.ITEMS[COMMISSIONING].schedule,replace,ручной % распределения → правило графика; ряд сохранён в кейсе как manual
